semel,year,school,city,city_norm,match_stage,cluster,index_value,population,locality_form,ses_locality_name,math_avg_grade,english_avg_grade,math_5unit_participation,english_5unit_participation,math_takers_total,english_takers_total
244210,2016,שש שנתי אורט טבריה,טבריה,טבריה,exact,4.0,-0.416,41814.0,,טבריה,73.86158536585367,80.60436170212765,0.13414634146341464,0.1702127659574468,82.0,94.0
244285,2013,אורט פסגות,כרמיאל,כרמיאל,exact,6.0,0.268,44756.0,,כרמיאל,79.02860465116278,85.42170984455959,0.14534883720930233,0.44559585492227977,172.0,193.0
244285,2014,אורט פסגות,כרמיאל,כרמיאל,exact,6.0,0.268,44756.0,,כרמיאל,79.59910994764398,86.53370558375634,0.09424083769633508,0.5583756345177665,191.0,197.0
244285,2015,אורט פסגות,כרמיאל,כרמיאל,exact,6.0,0.268,44756.0,,כרמיאל,83.55965686274509,84.12780487804878,0.12254901960784313,0.5951219512195122,204.0,205.0
244285,2016,אורט פסגות,כרמיאל,כרמיאל,exact,6.0,0.268,44756.0,,כרמיאל,82.05120192307693,87.98215311004785,0.23557692307692307,0.6602870813397129,208.0,209.0
244343,2013,מקיף שש שנתי סלאמה,סלמה,סלמה,exact,2.0,-1.286,3083.0,290.0,סלמה,66.46,68.88944444444445,0.07142857142857142,0.1,70.0,80.0
244343,2014,מקיף שש שנתי סלאמה,סלמה,סלמה,exact,2.0,-1.286,3083.0,290.0,סלמה,62.42,68.1,0.09523809523809523,0.14492753623188406,63.0,69.0
244343,2015,מקיף שש שנתי סלאמה,סלמה,סלמה,exact,2.0,-1.286,3083.0,290.0,סלמה,66.21,73.13021978021978,0.0975609756097561,0.14285714285714285,82.0,91.0
244343,2016,מקיף שש שנתי סלאמה,סלמה,סלמה,exact,2.0,-1.286,3083.0,290.0,סלמה,65.45764705882353,76.34571428571428,0.06593406593406594,0.2755102040816326,91.0,98.0
244368,2013,מקיף אורט כרמים,כרמיאל,כרמיאל,exact,6.0,0.268,44756.0,,כרמיאל,79.86410256410257,87.70093750000001,0.10256410256410256,0.3046875,117.0,128.0
